State,Gas,MidGrade,Premium,Diesel,State Code,State Latitude,State Longitude,GDP per capita,Mean Distance (km),Min Distance (km),Refinery Count,PRIVATE AND COMMERCIAL AUTOMOBILE,PUBLIC AUTOMOBILE,TOTAL AUTOMOBILES,PRIVATE AND COMMERCIAL BUSES,PUBLIC BUSES,TOTAL BUSES,PRIVATE AND COMMERCIAL TRUCKS,PUBLIC TRUCKS,TOTAL TRUCKS,PRIVATE AND COMMERCIAL MOTORCYCLES,PUBLIC MOTORCYCLES,TOTAL MOTORCYCLES,TOTAL MOTOR VEHICLES
North Dakota,1.99,2.188,2.397,2.073,ND,47.5514926,-101.0020119,72597.0,2690.7316577288857,79.4608744126276,2.0,272290,4255,276545,1457,1874,3331,711318,13623,724941,51927,14,51941,1056758
Nebraska,1.976,2.073,2.402,2.158,NE,41.4925374,-99.9018131,63942.0,2502.7081853140035,517.2169552832019,,662491,14549,677040,13526,38,13564,1190469,28296,1218765,55716,20,55736,1965105
New Hampshire,2.021,2.398,2.646,2.53,NH,43.1938516,-71.5723953,63067.0,4547.323214013577,521.8331062370559,,502617,2764,505381,566,2305,2871,726620,5447,732067,78702,96,78798,1319117
New Jersey,2.089,2.473,2.667,2.526,NJ,40.0583238,-74.4056612,69378.0,4173.50415430233,58.39467395046292,6.0,2774916,23783,2798699,22867,2230,25097,3045425,35511,3080936,152979,— ,152979,6057711
New Mexico,1.974,2.274,2.518,2.376,NM,34.5199402,-105.8700901,46954.0,2883.174132542552,322.0419775822907,3.0,601647,7847,609494,6071,207,6278,1043650,22862,1066512,57718,— ,57718,1740002
Nevada,2.526,2.723,2.901,2.588,NV,38.8026097,-116.419389,55269.0,3714.2509816651627,140.17709961349348,1.0,1039514,7994,1047508,504,2694,3198,1313087,15617,1328704,76027,5,76032,2455442
New York,2.22,2.551,2.773,2.837,NY,40.7127753,-74.0059728,85746.0,4220.749538094114,36.85577771980418,,4541749,21286,4563035,74639,5807,80446,5780052,41744,5821796,392176,2,392178,10857455
Ohio,2.055,2.364,2.696,2.448,OH,40.4172871,-82.90712300000001,57492.0,3124.4868278019007,167.97502757910937,4.0,4561052,44407,4605459,34699,6556,41255,5686290,66056,5752346,410165,22,410187,10809247
Oklahoma,1.819,2.06,2.254,1.998,OK,35.4675602,-97.5164276,50613.0,2411.132529600773,112.22119714716172,4.0,1330082,7542,1337624,1870,1285,3155,2249920,17289,2267209,136189,1,136190,3744178
Oregon,2.547,2.704,2.878,2.58,OR,43.8041334,-120.5542012,56956.0,4110.921209551587,479.082929509046,,1517573,24888,1542461,8541,9150,17691,2354242,46319,2400561,141987,751,142738,4103451
