El Paso Refinery (Marathon Petroleum),Texas
Houston Refinery (LyondellBasell),Texas
Houston Refinery (Valero),Texas
Independent Refinery (Stratnor),Texas
McKee Refinery (Valero),Texas
Nixon Refinery (Blue Dolphin Energy Company),Texas
Pasadena Refinery (Chevron),Texas
"Port Arthur Refinery (Total S.A.),",Texas
Port Arthur Refinery (Motiva Enterprises),Texas
Port Arthur Refinery (Valero),Texas
San Antonio Refinery (Calumet Specialty Products Partners),Texas
Sweeny Refinery (Phillips 66),Texas
Texas City Refinery (Valero),Texas
Sullivan Three Rivers Refinery (Valero),Texas
Tyler Refinery (Delek),Texas
"North Salt Lake Refinery (Big West Oil, a subsidiary of FJ Management)",Utah
Salt Lake City Refinery (Chevron),Utah
Salt Lake City Refinery (Marathon Petroleum),Utah
Woods Cross Refinery (HollyFrontier),Utah
Woods Cross Refinery (Silver Eagle Refining),Utah
Shell Anacortes Refinery (Shell Oil),Washington
Marathon Anacortes Refinery (Marathon Petroleum),Washington
Cherry Point Refinery (BP),Washington
Ferndale Refinery (Phillips 66),Washington
Tacoma Refinery (Par Pacific Holdings),Washington
Newell Refinery (Ergon),West Virginia
Superior Refinery (Husky Energy),Wisconsin
Cheyenne Refinery (HollyFrontier),Wyoming
Douglas Refinery (Genesis Energy),Wyoming
Evanston Refinery (Silver Eagle Refining),Wyoming
"Newcastle Refinery (Wyoming Refining Company, LLC a subsidiary of Par Pacific Holdings)",Wyoming
Sinclair Wyoming Refinery (Sinclair Oil),Wyoming
Sinclair Casper Refinery (Sinclair Oil),Wyoming
St Croix Refinery (HOVENSA),US Virgin Islands
