State,Gas,MidGrade,Premium,Diesel,State Code,State Latitude,State Longitude,GDP per capita,Mean Distance (km),Min Distance (km),Refinery Count,PRIVATE AND COMMERCIAL AUTOMOBILE,PUBLIC AUTOMOBILE,TOTAL AUTOMOBILES,PRIVATE AND COMMERCIAL BUSES,PUBLIC BUSES,TOTAL BUSES,PRIVATE AND COMMERCIAL TRUCKS,PUBLIC TRUCKS,TOTAL TRUCKS,PRIVATE AND COMMERCIAL MOTORCYCLES,PUBLIC MOTORCYCLES,TOTAL MOTORCYCLES,TOTAL MOTOR VEHICLES
North Dakota,1.974,2.175,2.39,2.06,ND,47.5514926,-101.0020119,72597.0,2730.503949056607,79.4608744126276,2.0,272290,4255,276545,1457,1874,3331,711318,13623,724941,51927,14,51941,1056758
Nebraska,1.971,2.064,2.402,2.156,NE,41.4925374,-99.9018131,63942.0,2548.1490409125545,517.2169552832019,,662491,14549,677040,13526,38,13564,1190469,28296,1218765,55716,20,55736,1965105
New Hampshire,2.016,2.397,2.643,2.526,NH,43.1938516,-71.5723953,63067.0,4405.635009596059,477.7867399085574,,502617,2764,505381,566,2305,2871,726620,5447,732067,78702,96,78798,1319117
New Jersey,2.085,2.473,2.663,2.524,NJ,40.0583238,-74.4056612,69378.0,4028.946361376853,52.89086695493266,6.0,2774916,23783,2798699,22867,2230,25097,3045425,35511,3080936,152979,— ,152979,6057711
New Mexico,1.969,2.263,2.507,2.373,NM,34.5199402,-105.8700901,46954.0,2965.5875806321956,322.0419775822907,3.0,601647,7847,609494,6071,207,6278,1043650,22862,1066512,57718,— ,57718,1740002
Nevada,2.519,2.719,2.892,2.584,NV,38.8026097,-116.419389,55269.0,3829.3459977773746,140.17709961349348,1.0,1039514,7994,1047508,504,2694,3198,1313087,15617,1328704,76027,5,76032,2455442
New York,2.218,2.551,2.772,2.837,NY,40.7127753,-74.0059728,85746.0,4074.711652883947,11.419430817377084,,4541749,21286,4563035,74639,5807,80446,5780052,41744,5821796,392176,2,392178,10857455
Ohio,2.034,2.349,2.68,2.445,OH,40.4172871,-82.90712300000001,57492.0,3042.537889012125,167.97502757910937,4.0,4561052,44407,4605459,34699,6556,41255,5686290,66056,5752346,410165,22,410187,10809247
Oklahoma,1.807,2.036,2.235,1.993,OK,35.4675602,-97.5164276,50613.0,2453.880120997088,112.22119714716172,4.0,1330082,7542,1337624,1870,1285,3155,2249920,17289,2267209,136189,1,136190,3744178
Oregon,2.537,2.704,2.87,2.585,OR,43.8041334,-120.5542012,56956.0,4220.473375956104,479.082929509046,,1517573,24888,1542461,8541,9150,17691,2354242,46319,2400561,141987,751,142738,4103451
Pennsylvania,2.311,2.611,2.888,2.742,PA,41.2033216,-77.1945247,61594.0,3661.781001060396,253.1399767369749,6.0,4415164,48103,4463267,53192,2743,55935,5719230,73616,5792846,376390,768,377158,10689206
Rhode Island,2.036,2.407,2.628,2.703,RI,41.5800945,-71.4774291,57852.0,4445.393493264472,422.87580607135317,,413227,7086,420313,1872,401,2273,410744,8570,419314,30814,100,30914,872814
South Carolina,1.831,2.151,2.462,2.27,SC,33.836081,-81.1637245,45280.0,3385.0785254057155,197.71876628089584,,1725328,83073,1808401,5476,12252,17728,2342149,117690,2459839,117660,472,118132,4404100
South Dakota,1.979,2.06,2.364,2.16,SD,43.9695148,-99.9018131,58624.0,2592.33123294544,355.69345971570533,,347216,5964,353180,— ,2614,2614,769748,15353,785101,116807,654,117461,1258356
Tennessee,1.858,2.175,2.498,2.316,TN,35.5174913,-86.5804473,53933.0,2774.1289965269425,319.27245017126756,1.0,2274107,50897,2325004,2918,26240,29158,3201416,78943,3280359,163619,2349,165968,5800489
Texas,1.797,2.102,2.385,2.105,TX,31.9685988,-99.9018131,61167.0,2649.693194193133,287.95845108033586,21.0,8084454,92425,8176879,18425,48718,67143,13341345,180708,13522053,363764,926,364690,22130765
Utah,2.288,2.446,2.613,2.295,UT,39.3209801,-111.0937311,55550.0,3293.2747177950077,213.68208918348762,3.0,914321,10731,925052,2460,3649,6109,1319576,21043,1340619,83792,201,83993,2355773
Virginia,1.853,2.235,2.525,2.363,VA,37.4315734,-78.6568942,62563.0,3560.7444894013634,383.19372724379326,,3206183,45156,3251339,8322,25946,34268,3964313,70613,4034926,193298,653,193951,7514484
Vermont,2.046,2.413,2.679,2.512,VT,44.5588028,-72.57784149999999,53523.0,4251.282671308046,480.683186262941,,217906,4030,221936,322,748,1070,360231,7416,367647,30955,— ,30955,621608
Washington,2.623,2.821,2.976,2.688,WA,47.7510741,-120.7401385,74182.0,4217.602137460813,254.5819042970405,5.0,2854542,71223,2925765,5441,18125,23566,3963375,112089,4075464,231400,1,231401,7256196
Wisconsin,2.04,2.336,2.726,2.083,WI,43.7844397,-88.7878678,57720.0,2651.655919549045,263.5266304831382,1.0,2058730,33854,2092584,15563,4,15567,3108154,55660,3163814,324260,410,324670,5596635
West Virginia,2.028,2.288,2.576,2.375,WV,38.5976262,-80.4549026,43053.0,3323.2155284097807,225.94744808559702,1.0,550117,12867,562984,244,3098,3342,1037704,26625,1064329,59236,1346,60582,1691237
Wyoming,2.037,2.249,2.477,2.314,WY,43.0759678,-107.2902839,69900.0,2960.5698921957646,146.952320102412,6.0,190149,3374,193523,2665,1554,4219,579881,12674,592555,28956,4,28960,819257
